arm	seed	phi_start	phi_end	phi_drift	phi_slope	pr_start	pr_end	cos_dist_start	cos_dist_end	frust_mean	too_frustrated_any_rate	too_frustrated_cells_per_step	too_ordered_any_rate	gate_open_mean	vocab_end	vocab_identical
g0.00	1	29.8751	27.8612	-2.0139	-0.05214	1.009	1.0544	0.0045	0.0337	0.5302	1.0	10.1619	0.2095	0.0	467	True
g0.00	9999	30.8615	29.1469	-1.7146	-0.0477	1.0071	1.0574	0.0037	0.0291	0.5263	1.0	10.3905	0.5238	0.0	467	True
g0.00	12345	30.6365	28.9513	-1.6852	-0.06881	1.0057	1.059	0.0029	0.0304	0.527	1.0	10.419	0.2667	0.0	467	True
g0.00	42	28.5642	32.4719	3.9077	0.13285	1.0089	1.0918	0.0045	0.0502	0.5287	1.0	10.819	0.2286	0.0	467	True
g0.00	7	26.7063	28.7403	2.034	0.07846	1.0066	1.0603	0.0034	0.0328	0.5271	1.0	10.3905	0.3333	0.0	467	True
g0.00	123	29.903	34.7249	4.8219	0.17327	1.0059	1.0633	0.003	0.0352	0.5267	1.0	9.5905	0.2286	0.0	467	True
g0.00	2024	30.5924	31.8953	1.3029	0.05275	1.0092	1.0561	0.0048	0.03	0.5282	1.0	10.1905	0.6381	0.0	467	True
g0.00	31337	29.8769	33.2122	3.3353	0.11833	1.0078	1.0791	0.0039	0.0383	0.5311	1.0	10.9333	0.2095	0.0	467	True
g0.00	555	30.3281	32.157	1.8289	0.10302	1.0074	1.0618	0.0038	0.0327	0.5302	1.0	11.2381	0.3238	0.0	467	True
g0.00	88	28.4436	33.2433	4.7997	0.12904	1.0119	1.108	0.0059	0.0627	0.5314	1.0	11.2381	0.2667	0.0	467	True
g0.05	1	29.8751	27.7691	-2.106	-0.05405	1.009	1.0547	0.0045	0.0338	0.5307	1.0	10.1619	0.1524	0.2918	467	True
g0.05	9999	30.8615	28.9778	-1.8837	-0.04895	1.0071	1.0579	0.0037	0.0293	0.5264	1.0	10.381	0.5238	0.12838	467	True
g0.05	12345	30.6365	28.9695	-1.667	-0.07006	1.0057	1.0597	0.0029	0.0308	0.5267	1.0	10.4381	0.3048	0.16723	467	True
g0.05	42	28.5642	32.4769	3.9127	0.13341	1.0089	1.0923	0.0045	0.0503	0.5291	1.0	10.8095	0.2286	0.16516	467	True
g0.05	7	26.7063	28.6816	1.9753	0.07511	1.0066	1.0616	0.0034	0.0334	0.5272	1.0	10.4286	0.3333	0.15733	467	True
g0.05	123	29.903	34.7461	4.8431	0.17489	1.0059	1.0644	0.003	0.0358	0.5265	1.0	9.6571	0.2286	0.18634	467	True
g0.05	2024	30.5924	31.9249	1.3325	0.04996	1.0092	1.0565	0.0048	0.0302	0.5283	1.0	10.1905	0.6476	0.14987	467	True
g0.05	31337	29.8769	33.2355	3.3586	0.11933	1.0078	1.0798	0.0039	0.0386	0.531	1.0	11.0667	0.2286	0.19411	467	True
g0.05	555	30.3281	32.3232	1.9951	0.10175	1.0074	1.0628	0.0038	0.0331	0.5304	1.0	11.1905	0.3333	0.17406	467	True
g0.05	88	28.4436	33.1978	4.7542	0.12957	1.0119	1.1087	0.0059	0.0631	0.5315	1.0	11.2286	0.2667	0.12105	467	True
g0.50*	1	29.8751	27.5758	-2.2993	-0.05622	1.009	1.0576	0.0045	0.035	0.5311	1.0	10.3619	0.1524	0.21717	467	True
g0.50*	9999	30.8615	28.9063	-1.9552	-0.05018	1.0071	1.0601	0.0037	0.0303	0.5269	1.0	10.5143	0.5143	0.10464	467	True
g0.50*	12345	30.6365	28.7765	-1.86	-0.0693	1.0057	1.0671	0.0029	0.0345	0.5269	1.0	10.581	0.2571	0.13528	467	True
g5.00*	1	29.8751	27.6267	-2.2484	-0.05418	1.009	1.0676	0.0045	0.0403	0.5317	1.0	10.7619	0.1905	0.1034	467	True
g5.00*	9999	30.8615	28.8206	-2.0409	-0.05213	1.0071	1.0638	0.0037	0.032	0.5277	1.0	10.7714	0.5048	0.05533	467	True
g5.00*	12345	30.6365	28.6908	-1.9457	-0.07175	1.0057	1.0852	0.0029	0.0444	0.5281	1.0	10.7143	0.2571	0.07162	467	True
