seed	diff_gain	phi_start	phi_end	phi_drift	pr_start	pr_end	cos_dist_end	top_share_start	top_share_end	node_sim_mean	gate_open_mean	frust_mean	tf_rate	vocab_id
1	0.0	29.8751	27.8612	-2.0139	1.009	1.0544	0.0337	0.9955	0.9737	0.9887	0.9953	0.5302	1.0	True
9999	0.0	30.8615	29.1469	-1.7146	1.0071	1.0574	0.0291	0.9965	0.9723	0.989	0.996	0.5263	1.0	True
12345	0.0	30.6365	28.9513	-1.6852	1.0057	1.059	0.0304	0.9971	0.9716	0.9912	1.0	0.527	1.0	True
42	0.0	28.5642	32.4719	3.9077	1.0089	1.0918	0.0502	0.9956	0.9565	0.9857	1.0	0.5287	1.0	True
7	0.0	26.7063	28.7403	2.034	1.0066	1.0603	0.0328	0.9967	0.9709	0.9893	0.9965	0.5271	1.0	True
123	0.0	29.903	34.7249	4.8219	1.0059	1.0633	0.0352	0.9971	0.9696	0.9876	0.9965	0.5267	1.0	True
2024	0.0	30.5924	31.8953	1.3029	1.0092	1.0561	0.03	0.9954	0.9729	0.986	0.989	0.5282	1.0	True
31337	0.0	29.8769	33.2122	3.3353	1.0078	1.0791	0.0383	0.9961	0.9622	0.99	1.0	0.5311	1.0	True
555	0.0	30.3281	32.157	1.8289	1.0074	1.0618	0.0327	0.9963	0.9702	0.991	1.0	0.5302	1.0	True
88	0.0	28.4436	33.2433	4.7997	1.0119	1.108	0.0627	0.9941	0.9491	0.9843	0.9913	0.5314	1.0	True
1	1.0	29.8751	26.1545	-3.7206	1.009	1.175	0.0879	0.9955	0.9216	0.9512	0.9616	0.5314	1.0	True
9999	1.0	30.8615	26.73	-4.1315	1.0071	1.1824	0.088	0.9965	0.9188	0.9498	0.9705	0.527	1.0	True
12345	1.0	30.6365	26.7622	-3.8743	1.0057	1.1921	0.0936	0.9971	0.9148	0.9531	0.9855	0.5277	1.0	True
42	1.0	28.5642	28.6346	0.0704	1.0089	1.2266	0.1104	0.9956	0.901	0.9475	0.9554	0.5283	1.0	True
7	1.0	26.7063	24.4702	-2.2361	1.0066	1.1771	0.0867	0.9967	0.9208	0.9507	0.9792	0.5293	1.0	True
123	1.0	29.903	32.3299	2.4269	1.0059	1.1973	0.0958	0.9971	0.9128	0.9493	0.9815	0.5241	1.0	True
2024	1.0	30.5924	28.3428	-2.2496	1.0092	1.181	0.088	0.9954	0.9194	0.9481	0.967	0.529	1.0	True
31337	1.0	29.8769	30.1427	0.2658	1.0078	1.2204	0.0997	0.9961	0.9038	0.9511	0.9722	0.5318	1.0	True
555	1.0	30.3281	28.708	-1.6201	1.0074	1.2124	0.101	0.9963	0.9068	0.9517	0.9942	0.5294	1.0	True
88	1.0	28.4436	28.9703	0.5267	1.0119	1.2345	0.1183	0.9941	0.8976	0.9481	0.9612	0.5323	1.0	True
