seed	wave_dim_k	phi_start	phi_end	phi_drift	pr_end	cos_dist_end	top_share_end	drive_corr	tension_input_corr	total_mi_drift	min_part_mi_drift	frust_mean	vocab_identical	phi_spark
1	0	29.8751	27.8612	-2.0139	1.0544	0.0337	0.9737	0.3567	-0.0351	-33.13274	-2.33132	0.5302	True	█▇▆▆▅▅▅▅▄▄▃▅▃▄▄▃▄▃▃▄▄▃▂▂▂▁▁▁▁▁▁▁▁▁▂▁
1	1	29.8751	28.22	-1.6551	1.0821	0.0477	0.961	0.7771	-0.0351	-28.46995	-3.3477	0.5305	True	▇█▆▄▄▃▃▂▁▁▁▁▁▂▃▃▃▄▅▅▅▄▄▃▃▃▂▂▂▂▃▃▃▃▄▄
9999	0	30.8615	29.1469	-1.7146	1.0574	0.0291	0.9723	0.2781	-0.0447	-47.31655	-4.06342	0.5263	True	█▆▆▅▅▅▄▄▄▃▃▃▃▂▁▃▂▃▃▃▂▂▂▂▁▁▁▁▁▁▂▂▃▁▁▃
9999	1	30.8615	28.178	-2.6835	1.1089	0.0583	0.9492	0.9257	-0.0378	-70.17127	-9.43259	0.5261	True	█▇▆▅▄▃▃▂▂▁▁▁▁▁▂▂▃▄▇▇▆▆▅▅▄▃▂▂▂▂▂▂▂▂▃▃
12345	0	30.6365	28.9513	-1.6852	1.059	0.0304	0.9716	0.4185	-0.0008	-47.07819	-5.35284	0.527	True	▇▇▇▇█▇▆▆▅▄▄▃▃▂▂▂▂▁▁▁▁▁▂▂▂▂▂▂▁▂▁▂▂▃▃▃
12345	1	30.6365	28.2513	-2.3852	1.0855	0.0439	0.9595	0.5193	-0.0081	-64.3939	-5.79589	0.5265	True	█▇▆▄▂▁▁▁▁▁▁▁▁▂▂▃▄▄▅▅▅▅▅▅▅▄▄▄▅▅▅▅▅▅▅▅
42	0	28.5642	32.4719	3.9077	1.0918	0.0502	0.9565	0.2695	-0.0605	87.63055	7.08745	0.5287	True	▁▁▁▁▁▁▁▂▂▂▃▃▃▄▅▅▅▆▆▆▆▇▇▇▇▆▇▇▇▇▇▇▇█▇▇
42	1	28.5642	31.2694	2.7052	1.1266	0.0693	0.9411	0.3328	-0.0599	62.12866	5.80518	0.5288	True	▃▂▃▃▃▃▂▂▁▁▁▁▁▂▃▃▃▅▅▆▇▇▇█▇▆▅▅▅▅▆▆▇▆▇▇
7	0	26.7063	28.7403	2.034	1.0603	0.0328	0.9709	0.5791	-0.0389	39.4736	0.11389	0.5271	True	▂▂▁▁▁▁▁▁▁▁▁▃▅▅▆▇▆▆▇█▇▇▇▇▆▅▅▅▅▅▅▅▅▆▇▆
7	1	26.7063	26.8699	0.1636	1.1123	0.0562	0.9475	0.6379	-0.0336	-0.61845	-5.45988	0.5275	True	▄▄▃▂▂▂▁▁▁▁▁▁▁▁▂▂▃▄▄▅▆█▇▇▆▅▅▄▄▄▃▃▄▄▄▅
123	0	29.903	34.7249	4.8219	1.0633	0.0352	0.9696	0.2095	-0.0466	103.30679	2.33094	0.5267	True	▁▁▁▁▁▁▁▁▁▁▁▁▂▃▃▄▅▅▆▆▇▇▇▇█▇▇▇▇▆▆▇▇▇▇▇
123	1	29.903	34.1756	4.2726	1.1143	0.0616	0.9467	0.3288	-0.0532	94.43329	2.89906	0.5261	True	▃▂▁▁▁▁▁▁▁▁▁▁▁▁▂▃▅▆▆▇▇▇▇▇▇▇▇▆▅▆▆▆▇█▇▇
2024	0	30.5924	31.8953	1.3029	1.0561	0.03	0.9729	0.392	-0.075	27.33398	-1.29753	0.5282	True	▁▁▁▁▁▂▂▁▂▂▂▃▂▃▃▄▅▅▅▆▆▆█▆▆▅▅▄▄▄▅▄▅▄▄▄
2024	1	30.5924	30.3931	-0.1993	1.1218	0.0617	0.9436	0.934	-0.0827	-9.76813	-5.77208	0.5285	True	▅▅▄▄▄▃▂▂▁▁▁▁▂▂▃▃▅▅▅▅▇█▇▆▅▄▄▃▂▂▂▃▂▂▃▄
31337	0	29.8769	33.2122	3.3353	1.0791	0.0383	0.9622	0.3296	-0.0344	76.51	-1.36105	0.5311	True	▂▂▂▁▁▁▁▁▁▁▁▁▂▃▃▄▄▄▅▅▆▅▅▅▅▅▅▅▅▅▆▆▆▇▇█
31337	1	29.8769	32.8918	3.0149	1.1359	0.0742	0.937	0.4198	-0.0229	55.36147	-4.77266	0.5315	True	▄▄▃▃▂▁▁▁▁▁▁▁▁▂▃▄▅▆▆▇▇▇▇▇▇▇▆▆▆▆▆▆▆▇▇█
555	0	30.3281	32.157	1.8289	1.0618	0.0327	0.9702	0.3771	-0.0084	34.95257	-5.57959	0.5302	True	▂▂▁▁▂▂▁▁▁▁▁▁▃▃▄▄▅▆▇▇▇█▇▇▇▇▇▆▆▆▅▆▆▆▆▆
555	1	30.3281	32.6527	2.3246	1.0928	0.0463	0.9563	0.4338	-0.0117	51.10026	1.93553	0.53	True	▃▃▂▂▁▁▁▁▁▁▁▁▂▃▄▄▅▅▆▆▇█▇▆▆▆▆▅▅▅▆▆▆▆▆▆
88	0	28.4436	33.2433	4.7997	1.108	0.0627	0.9491	0.1426	-0.0177	88.40628	-0.80864	0.5314	True	▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▃▃▄▃▄▅▄▄▅▅▅▅▅▅▄▅▅▆▆█
88	1	28.4436	31.9756	3.532	1.1473	0.0856	0.9322	0.2518	-0.024	57.61215	-6.1873	0.5313	True	▃▃▃▂▂▂▂▂▁▁▁▁▂▁▂▂▃▄▄▅▆▇▇▇▆▇▇▇█▇▆▆▆▆▆▇
