seed	beta	phi_start	phi_end	phi_drift	phi_min	phi_max	warmup_reps	vocab
1	0.0	29.8751	27.8612	-2.0139	27.7547	29.8751	17	467
1	0.6	29.8751	27.4217	-2.4534	27.2369	29.8751	17	467
2	0.0	29.486	29.5865	0.1005	26.5122	29.5865	11	467
2	0.6	29.486	31.0632	1.5772	26.3318	31.0632	11	467
3	0.0	28.9164	33.7208	4.8044	28.9164	34.3195	9	467
3	0.6	28.9164	34.1635	5.2471	28.9164	34.5882	9	467
7	0.0	26.7063	28.7403	2.034	26.1138	29.3244	9	467
7	0.6	26.7063	28.7266	2.0203	26.2198	29.6293	9	467
42	0.0	28.5642	32.4719	3.9077	28.5642	32.6502	9	467
42	0.6	28.5642	32.1211	3.5569	28.5642	32.4425	9	467
123	0.0	29.903	34.7249	4.8219	29.903	34.7335	9	467
123	0.6	29.903	35.5787	5.6757	29.903	35.9649	9	467
777	0.0	28.386	30.8836	2.4976	26.8892	30.8836	8	467
777	0.6	28.386	32.6515	4.2655	26.6078	32.6515	8	467
2024	0.0	30.5924	31.8953	1.3029	30.37	33.15	14	467
2024	0.6	30.5924	31.3269	0.7345	30.4862	32.7736	14	467
9999	0.0	30.8615	29.1469	-1.7146	28.198	30.8615	11	467
9999	0.6	30.8615	28.1052	-2.7563	27.9906	30.8615	11	467
12345	0.0	30.6365	28.9513	-1.6852	27.6912	30.7435	14	467
12345	0.6	30.6365	28.4489	-2.1876	27.4194	30.6365	14	467
